state,identifier
restricted,360AnaglyphColor
restricted,360AnaglyphMono
restricted,360AnaglyphOutline
restricted,360Difference
restricted,360LeftEyeOnly
restricted,360RightEyeOnly
restricted,360Superimpose
restricted,AddNewSelectionEnd
restricted,AddNewSelectionStart
restricted,AllClips
restricted,ClearSelection
restricted,ClearSelectionEnd
restricted,ClearSelectionStart
restricted,CloseLibrary
restricted,CloseOthers
restricted,CloseProject
restricted,CloseWindow
restricted,ConsolidateFiles
restricted,ConsolidateMotionContent
restricted,Copy
restricted,Cut
restricted,DecreaseFOV
restricted,DecreaseThumbnailSize
restricted,DeselectAll
restricted,Down
restricted,ExitFullScreen
restricted,ExportCaptions
restricted,ExportXML
restricted,ExtendDown
restricted,ExtendUp
restricted,Find
restricted,GoToBackgroundTasks
restricted,GoToEventViewer
restricted,GoToViewer
restricted,GotoIn
restricted,GotoOut
restricted,HideApplication
restricted,HideOtherApplications
restricted,HideRejected
restricted,ImportXML
restricted,ImportiOSProjects
restricted,IncreaseFOV
restricted,IncreaseThumbnailSize
restricted,JogBackward
restricted,JogForward
restricted,JumpBackward10Frames
restricted,JumpForward10Frames
restricted,JumpToEnd
restricted,JumpToNextField
restricted,JumpToNextFrame
restricted,JumpToNextSubframe
restricted,JumpToPreviousField
restricted,JumpToPreviousFrame
restricted,JumpToPreviousSubframe
restricted,JumpToStart
restricted,LoopPlayback
restricted,Minimize
restricted,MoveToTrash
restricted,NextClip
restricted,NoRatingsOrKeywords
restricted,NudgeDown
restricted,NudgeDownMany
restricted,NudgeLeft
restricted,NudgeLeftAudio
restricted,NudgeLeftAudioMany
restricted,NudgeLeftMany
restricted,NudgeRight
restricted,NudgeRightAudio
restricted,NudgeRightAudioMany
restricted,NudgeRightMany
restricted,NudgeUp
restricted,NudgeUpMany
restricted,OpenLibrary
restricted,PanLeft
restricted,PanRight
restricted,PlayFromBeginningOfClip
restricted,PlayFromStart
restricted,PlayFullscreen
restricted,PlayPause
restricted,PlayRate16X
restricted,PlayRate1X
restricted,PlayRate2X
restricted,PlayRate32X
restricted,PlayRate4X
restricted,PlayRate8X
restricted,PlayRateHalf
restricted,PlayRateMinus16X
restricted,PlayRateMinus1X
restricted,PlayRateMinus2X
restricted,PlayRateMinus32X
restricted,PlayRateMinus4X
restricted,PlayRateMinus8X
restricted,PlayRateMinusHalf
restricted,PlayReverse
restricted,PlaySelected
restricted,PlayToOut
restricted,PlaybackBetterPerformance
restricted,PlaybackBetterQuality
restricted,PreviousClip
restricted,PurgeRenderFiles
restricted,Quit
restricted,RedoChanges
restricted,RelinkFiles
restricted,RelinkProxyFiles
restricted,RenderSelection
restricted,ResetFieldOfView
restricted,ResetPointOfView
restricted,RevealInFinder
restricted,RollClockwise
restricted,RollCounterclockwise
restricted,SelectAll
restricted,SelectClip
restricted,SelectNextAngle
restricted,SelectNextAngleBank
restricted,SelectNextAudioAngle
restricted,SelectNextVariant
restricted,SelectNextVideoAngle
restricted,SelectPreviousAngle
restricted,SelectPreviousAngleBank
restricted,SelectPreviousAudioAngle
restricted,SelectPreviousVariant
restricted,SelectPreviousVideoAngle
restricted,SendIMFPackageToCompressor
restricted,SendITMSPackageToCompressor
restricted,SendToCompressor
restricted,SetSelectionEnd
restricted,SetSelectionStart
restricted,ShareDefaultDestination
restricted,ShowFavorites
restricted,ShowFewerFilmstripFrames
restricted,ShowHiddenClips
restricted,ShowHorizon
restricted,ShowMarkedRanges
restricted,ShowMoreFilmstripFrames
restricted,ShowMultiangleEventViewer
restricted,ShowMultiangleViewer
restricted,ShowOneFramePerFilmstrip
restricted,ShowPreferences
restricted,ShowRejected
restricted,ShowSkimmerInfo
restricted,SortAscending
restricted,SortByDate
restricted,SortByName
restricted,SortDescending
restricted,StereoBothEyes
restricted,Stop
restricted,SwitchAngle01
restricted,SwitchAngle02
restricted,SwitchAngle03
restricted,SwitchAngle04
restricted,SwitchAngle05
restricted,SwitchAngle06
restricted,SwitchAngle07
restricted,SwitchAngle08
restricted,SwitchAngle09
restricted,SwitchAngle10
restricted,SwitchAngle11
restricted,SwitchAngle12
restricted,SwitchAngle13
restricted,SwitchAngle14
restricted,SwitchAngle15
restricted,SwitchAngle16
restricted,TiltDown
restricted,TiltUp
restricted,Toggle360EventViewer
restricted,Toggle360Viewer
restricted,ToggleAudioScrubbing
restricted,ToggleEventViewer
restricted,ToggleEventsAsFilmstripAndList
restricted,ToggleEventsLibrary
restricted,ToggleFullScreenEvents
restricted,ToggleFullScreenViewer
restricted,ToggleItemSkimming
restricted,ToggleOrganizer
restricted,ToggleOrganizerPlaythrough
restricted,ToggleShowTimelineItemTitles
restricted,ToggleSkimming
restricted,ToggleStackHUD
restricted,UndoChanges
restricted,Up
restricted,ZoomIn
restricted,ZoomOut
restricted,ZoomToFit
removed,AVEditModeAudio
removed,AVEditModeBoth
removed,AVEditModeVideo
removed,AddAndEditCaption
removed,AddAndEditMarker
removed,AddBasicLowerThird
removed,AddBasicTitle
removed,AddChapterMarker
removed,AddColorAdjustmentEffect
removed,AddColorBoardEffect
removed,AddColorCurvesEffect
removed,AddColorMask
removed,AddColorWheelsEffect
removed,AddCompareFrame
removed,AddDefaultAudioEffect
removed,AddDefaultVideoEffect
removed,AddEnhanceLightAndColorEffect
removed,AddHDRColorEffect
removed,AddHueSaturationEffect
removed,AddKeyframe
removed,AddKeywordGroup1
removed,AddKeywordGroup2
removed,AddKeywordGroup3
removed,AddKeywordGroup4
removed,AddKeywordGroup5
removed,AddKeywordGroup6
removed,AddKeywordGroup7
removed,AddKeywordGroup8
removed,AddKeywordGroup9
removed,AddMarker
removed,AddNewNamePreset
removed,AddObjectMaskEffect
removed,AddShapeMask
removed,AddToAudition
removed,AddToDoMarker
removed,AddToSoloed
removed,AddTransition
removed,AdjustVolumeAbsolute
removed,AdjustVolumeRelative
removed,AlignAudioToVideo
removed,AnalyzeAndFix
removed,AnchorWithSelectedMedia
removed,AnchorWithSelectedMediaAudio
removed,AnchorWithSelectedMediaAudioBacktimed
removed,AnchorWithSelectedMediaBacktimed
removed,AnchorWithSelectedMediaVideo
removed,AnchorWithSelectedMediaVideoBacktimed
